epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.337,1.51198,2.14461,1.80268,0.50398,0.42079,0.35386,0.13068,2.15164,2.37393,3.07439,0.000658915,0.000658915,0.000658915
2,56.3532,1.51233,1.75033,1.76735,0.4173,0.41089,0.32666,0.0997,2.43563,2.25012,2.88011,0.00128184,0.00128184,0.00128184
3,80.9958,1.50399,1.62024,1.785,0.59079,0.63611,0.61116,0.19957,2.22406,1.57114,2.76568,0.00186076,0.00186076,0.00186076
4,105.637,1.50905,1.52705,1.78501,0.57552,0.58911,0.51227,0.15576,2.31453,1.77244,2.59488,0.001802,0.001802,0.001802
5,130.026,1.48578,1.48591,1.76089,0.69313,0.52556,0.53032,0.16472,2.4436,1.69794,2.86679,0.001736,0.001736,0.001736
6,154.785,1.43522,1.37485,1.71567,0.73082,0.71287,0.73838,0.31568,1.8108,1.4953,2.13207,0.00167,0.00167,0.00167
7,178.502,1.41294,1.32164,1.68614,0.85512,0.76733,0.83018,0.39028,1.65731,1.35217,2.03378,0.001604,0.001604,0.001604
8,202.46,1.36554,1.22951,1.64856,0.86284,0.74741,0.80632,0.36472,1.80389,1.15758,2.06896,0.001538,0.001538,0.001538
9,226.945,1.38007,1.22783,1.64825,0.85486,0.72895,0.81665,0.42062,1.65642,1.14745,1.94794,0.001472,0.001472,0.001472
10,251.5,1.32381,1.15662,1.60828,0.83386,0.75743,0.8235,0.40238,1.63455,1.16805,1.95931,0.001406,0.001406,0.001406
11,276.086,1.31244,1.14389,1.60892,0.84647,0.73694,0.82669,0.38295,1.76794,1.14143,1.97246,0.00134,0.00134,0.00134
12,300.911,1.29084,1.1013,1.58297,0.79582,0.69465,0.75869,0.31557,2.01709,1.12972,2.4041,0.001274,0.001274,0.001274
13,324.927,1.26619,1.08985,1.56479,0.85904,0.77228,0.83659,0.43386,1.58765,1.01865,1.91104,0.001208,0.001208,0.001208
14,349.432,1.23052,1.03318,1.53641,0.8774,0.78713,0.85797,0.44596,1.61565,1.00039,1.87135,0.001142,0.001142,0.001142
15,373.555,1.22936,1.02916,1.53985,0.86461,0.74752,0.82412,0.38346,1.75744,1.04862,2.00138,0.001076,0.001076,0.001076
16,397.466,1.20432,1.00229,1.53232,0.86209,0.74271,0.84637,0.35893,1.89308,0.965,2.15907,0.00101,0.00101,0.00101
17,421.891,1.22229,0.99675,1.52918,0.90116,0.81246,0.8871,0.43262,1.69189,0.8805,1.92411,0.000944,0.000944,0.000944
18,446.186,1.17123,0.95621,1.49813,0.82671,0.87384,0.8964,0.47315,1.52276,0.86782,1.81657,0.000878,0.000878,0.000878
19,470.357,1.18294,0.97582,1.49445,0.88733,0.81871,0.87065,0.43126,1.6457,0.87075,1.88988,0.000812,0.000812,0.000812
20,494.738,1.1722,0.9531,1.4863,0.86784,0.78017,0.82463,0.41168,1.70847,0.92281,1.99117,0.000746,0.000746,0.000746
21,520.074,1.10263,0.75116,1.54246,0.81549,0.83145,0.85885,0.45552,1.47731,0.87692,1.7439,0.00068,0.00068,0.00068
22,543.042,1.08206,0.72115,1.50976,0.90027,0.8044,0.88224,0.45543,1.56536,0.84265,1.87247,0.000614,0.000614,0.000614
23,565.409,1.02275,0.66328,1.48749,0.88786,0.82673,0.87464,0.47415,1.49113,0.8304,1.7886,0.000548,0.000548,0.000548
24,588.693,1.00976,0.65637,1.46527,0.83411,0.84653,0.87373,0.48405,1.45226,0.78533,1.77122,0.000482,0.000482,0.000482
25,611.943,1.00267,0.6333,1.43566,0.88519,0.83975,0.88607,0.46997,1.48605,0.78688,1.77546,0.000416,0.000416,0.000416
26,634.938,0.98932,0.61012,1.42786,0.85665,0.86139,0.89153,0.50399,1.42955,0.77141,1.72902,0.00035,0.00035,0.00035
27,657.007,0.95802,0.60483,1.41859,0.86061,0.85579,0.89603,0.49716,1.42443,0.75143,1.71336,0.000284,0.000284,0.000284
28,680.78,0.92063,0.57432,1.39314,0.89173,0.85625,0.92206,0.51135,1.45158,0.74293,1.75438,0.000218,0.000218,0.000218
29,704.233,0.93858,0.57044,1.39361,0.89567,0.84653,0.89979,0.48737,1.48417,0.73608,1.76306,0.000152,0.000152,0.000152
30,727.682,0.89633,0.56214,1.3657,0.87863,0.85149,0.90235,0.49858,1.44165,0.72844,1.73346,8.6e-05,8.6e-05,8.6e-05
